pk_id,cluster_id
20464,57
20451,57
19855,57
19866,57
19859,57
20266,57
19923,57
20467,57
20606,57
20470,57
20439,57
20446,57
20629,57
19910,57
19926,57
19937,57
19960,57
20242,57
20417,57
19965,57
20408,57
20386,57
20422,57
20599,57
20351,57
20108,57
20221,57
20519,57
19972,57
20403,57
20412,57
20395,57
20426,57
20495,57
20427,57
20693,57
20524,57
20458,57
20706,57
20513,57
20669,57
20622,57
20583,57
20600,57
20518,57
20634,57
20487,57
20512,57
20707,57
20651,57
20492,57
20551,57
20500,57
20457,57
20384,57
20385,57
20326,57
20324,57
20604,57
20483,57
20517,57
20505,57
20690,57
20490,57
20496,57
20468,57
20455,57
20388,57
20484,57
20713,57
20428,57
20475,57
20828,57
20785,57
20818,57
21086,57
20997,57
20971,57
20956,57
20805,57
20835,57
21089,57
20862,57
21031,57
21094,57
20833,57
21080,57
21014,57
21062,57
21254,57
20957,57
20847,57
20740,57
20927,57
20857,57
21064,57
20920,57
21024,57
20923,57
20746,57
20819,57
20940,57
21068,57
21246,57
21016,57
20851,57
20744,57
20737,57
20915,57
20797,57
21335,57
21291,57
21277,57
21328,57
21270,57
21280,57
21321,57
21739,117
21786,118
21802,118
21757,118
21753,118
21756,118
21795,118
21895,119
21893,119
21879,119
21870,119
21964,119
21966,119
21935,119
21862,119
21920,119
21946,119
21929,119
21951,119
21927,119
21940,119
22266,120
22369,120
22274,120
22342,120
22310,120
22269,120
22249,120
22278,120
22340,120
22304,120
22263,120
22307,120
22349,120
21645,121
22287,122
21856,122
22545,122
22195,122
21996,122
21848,122
21972,122
21816,122
21832,122
21852,122
22479,122
22241,122
22069,122
21922,122
21741,122
22872,122
22521,122
21901,122
22944,122
22098,122
22240,122
21672,122
22804,122
22647,122
22163,122
22846,122
21674,122
22765,122
22292,122
22178,122
21715,122
21855,122
22651,122
22366,122
22442,122
22529,122
22671,122
22118,122
22024,122
22858,122
22543,122
22932,122
22977,122
22910,122
22721,122
22464,122
21738,122
21676,122
22541,122
22021,122
22990,122
21782,122
22568,122
22808,122
21711,122
21909,122
22894,122
22913,122
22712,122
21777,122
22353,122
22290,122
22169,122
21999,122
22554,122
22295,122
